Home ID,Appliance Type,Energy Consumption (kWh),Time,Date,Outdoor Temperature (°C),Season,Household Size
94,Fridge,0.2,21:12,2023-12-02,-1.0,Fall,2
435,Oven,0.23,20:11,2023-08-06,31.1,Summer,5
466,Dishwasher,0.32,06:39,2023-11-21,21.3,Fall,3
496,Heater,3.92,21:56,2023-01-21,-4.2,Winter,1
137,Microwave,0.44,04:31,2023-08-26,34.5,Summer,5
68,Air Conditioning,4.68,11:36,2023-05-06,35.2,Spring,1
237,Computer,0.25,12:05,2023-06-06,6.8,Spring,3
329,Air Conditioning,3.5,03:34,2023-12-12,-1.0,Fall,4
336,Dishwasher,0.89,15:22,2023-08-16,7.9,Summer,1
310,Microwave,1.34,16:32,2023-09-19,9.3,Summer,5
368,Oven,0.64,11:19,2023-10-19,-7.3,Fall,3
115,Dishwasher,1.33,17:51,2023-05-17,39.0,Spring,2
41,Microwave,0.85,19:53,2023-02-21,-7.4,Winter,3
465,Oven,1.24,13:29,2023-11-17,20.3,Fall,5
94,Air Conditioning,2.88,00:13,2023-05-15,2.1,Spring,1
229,Heater,4.11,00:57,2023-04-26,-0.3,Spring,2
360,Fridge,0.12,08:40,2023-10-24,39.8,Fall,2
71,TV,1.65,04:16,2023-08-09,3.0,Summer,4
352,Dishwasher,1.62,17:18,2023-12-20,16.3,Fall,4
445,Dishwasher,1.33,04:17,2023-10-30,30.9,Fall,5
257,Computer,0.35,19:46,2023-11-24,12.4,Fall,5
133,Washing Machine,1.09,04:45,2023-10-23,6.5,Fall,3
372,Air Conditioning,3.05,19:43,2023-10-16,30.6,Fall,4
253,Heater,4.87,05:09,2023-09-05,29.0,Summer,2
59,Lights,1.02,03:42,2023-12-22,1.1,Fall,3
419,Oven,0.65,02:57,2023-01-12,5.3,Winter,4
466,Heater,2.03,16:04,2023-06-05,15.3,Spring,5
281,Oven,0.28,08:40,2023-03-25,19.0,Winter,5
257,Air Conditioning,4.84,10:06,2023-11-20,-8.0,Fall,4
120,Oven,0.38,19:45,2023-03-02,24.6,Winter,4
343,Washing Machine,1.17,15:54,2023-07-08,10.9,Summer,4
157,Microwave,0.3,15:19,2023-10-13,23.6,Fall,2
242,Lights,1.36,14:42,2023-09-30,39.6,Summer,4
321,Dishwasher,1.55,16:11,2023-12-19,1.3,Fall,1
19,TV,0.65,05:36,2023-10-31,20.3,Fall,4
114,TV,0.47,23:43,2023-09-04,15.7,Summer,2
405,Computer,1.53,14:09,2023-07-29,37.2,Summer,4
470,Oven,0.73,17:24,2023-03-19,19.5,Winter,1
484,Heater,2.88,01:50,2023-05-31,21.7,Spring,4
368,Computer,0.93,12:39,2023-06-01,21.6,Spring,4
414,TV,1.63,15:29,2023-01-23,36.6,Winter,4
383,Computer,0.79,08:12,2023-03-03,17.3,Winter,5
68,Microwave,1.01,12:52,2023-11-08,-0.4,Fall,1
50,Heater,2.54,07:43,2023-08-31,-2.4,Summer,4
156,Oven,1.33,14:17,2023-05-05,-4.3,Spring,1
10,Lights,1.63,22:22,2023-07-28,26.9,Summer,2
209,Oven,0.38,19:51,2023-03-07,32.3,Winter,4
102,Oven,1.88,01:26,2023-03-22,37.5,Winter,3
212,TV,1.34,06:06,2023-11-25,25.4,Fall,1
214,Air Conditioning,3.44,10:02,2023-06-30,34.6,Spring,4
358,Air Conditioning,2.61,05:53,2023-04-17,17.4,Spring,4
463,Washing Machine,0.95,20:56,2023-07-01,28.9,Summer,2
465,Washing Machine,0.49,23:16,2023-01-06,17.9,Winter,1
286,Air Conditioning,2.92,13:40,2023-11-05,-0.5,Fall,3
56,TV,1.12,14:36,2023-10-09,19.6,Fall,2
236,Air Conditioning,4.08,01:50,2023-01-27,22.5,Winter,1
131,TV,1.62,21:53,2023-01-26,6.5,Winter,3
435,Fridge,0.45,14:44,2023-07-07,33.5,Summer,1
285,Washing Machine,1.52,04:38,2023-10-24,11.4,Fall,1
399,TV,1.61,01:44,2023-04-03,5.2,Spring,4
165,Dishwasher,0.71,18:19,2023-09-29,-8.0,Summer,4
472,Computer,0.87,05:52,2024-01-01,-4.1,Winter,4
315,Fridge,0.4,00:07,2023-08-02,-7.4,Summer,5
41,Washing Machine,1.32,02:27,2023-08-17,6.7,Summer,2
403,Washing Machine,0.94,02:06,2023-02-26,10.8,Winter,1
181,Microwave,1.68,00:35,2023-08-24,21.5,Summer,1
325,TV,1.69,03:15,2023-04-18,24.1,Spring,3
349,TV,1.86,17:22,2023-04-27,32.9,Spring,5
218,Lights,1.29,19:32,2023-05-21,38.8,Spring,1
76,Computer,0.33,07:32,2023-09-29,-3.7,Summer,5
233,Air Conditioning,2.9,17:58,2023-11-18,34.1,Fall,4
449,TV,0.34,23:17,2023-07-31,13.3,Summer,5
408,Microwave,1.8,19:00,2023-07-14,5.6,Summer,1
265,Microwave,0.85,01:12,2023-05-20,20.5,Spring,5
496,Washing Machine,1.94,10:50,2023-07-09,21.8,Summer,3
90,Computer,0.83,20:03,2023-11-13,17.8,Fall,5
390,Air Conditioning,2.3,02:36,2023-09-17,17.5,Summer,5
165,Air Conditioning,4.69,18:43,2023-01-23,24.7,Winter,3
76,Dishwasher,0.3,14:06,2023-07-02,2.0,Summer,2
63,Oven,1.44,17:04,2023-02-17,19.8,Winter,1
401,TV,1.68,08:52,2023-08-29,32.1,Summer,1
492,Lights,0.27,18:43,2023-04-23,31.2,Spring,5
399,Microwave,1.3,15:17,2023-06-14,-8.7,Spring,4
492,Dishwasher,1.9,18:24,2023-04-18,15.5,Spring,2
372,Computer,1.61,14:57,2023-07-30,19.1,Summer,4
264,Oven,0.37,11:05,2023-04-24,25.8,Spring,2
7,Air Conditioning,2.45,01:06,2023-05-25,-4.9,Spring,3
355,Microwave,0.94,00:42,2023-01-10,39.9,Winter,4
92,Lights,1.1,12:12,2023-12-30,22.5,Fall,5
24,Microwave,0.2,06:29,2023-04-11,28.2,Spring,1
348,Microwave,1.68,12:25,2023-12-06,24.4,Fall,1
198,Washing Machine,1.08,03:41,2023-01-09,12.6,Winter,1
315,Air Conditioning,3.11,13:04,2023-01-14,1.5,Winter,2
499,TV,0.24,23:28,2023-11-22,2.3,Fall,4
258,Lights,1.34,03:17,2023-12-23,-0.6,Fall,1
465,Oven,0.92,17:52,2023-11-16,4.3,Fall,3
447,Microwave,0.58,17:50,2023-07-11,-1.8,Summer,1
439,TV,0.49,09:10,2023-01-20,30.6,Winter,5
384,Dishwasher,0.65,06:46,2023-01-12,-8.4,Winter,2
8,Computer,0.53,23:31,2023-02-18,28.1,Winter,5
410,Fridge,0.19,16:10,2023-05-24,37.3,Spring,5
396,Air Conditioning,4.11,19:01,2023-07-03,9.1,Summer,4
244,Oven,1.1,06:00,2023-12-15,11.5,Fall,2
462,Microwave,0.58,10:15,2023-04-05,33.5,Spring,4
355,Heater,4.65,14:17,2023-02-16,18.7,Winter,3
93,Air Conditioning,3.56,03:29,2023-09-18,4.4,Summer,1
487,Dishwasher,1.22,16:37,2023-02-11,39.1,Winter,5
370,Fridge,0.39,05:03,2023-08-16,11.9,Summer,4
63,Dishwasher,0.93,19:00,2023-12-22,22.6,Fall,3
445,Heater,2.34,09:02,2023-05-25,31.1,Spring,1
159,Heater,4.34,21:54,2023-10-13,24.2,Fall,1
234,Oven,1.68,23:42,2023-04-29,39.2,Spring,2
128,Heater,2.88,00:33,2023-06-28,39.0,Spring,3
332,Oven,1.93,09:34,2023-10-13,-5.9,Fall,4
71,Heater,4.4,11:23,2023-08-25,20.4,Summer,4
137,Oven,1.69,16:43,2023-05-06,24.7,Spring,1
12,Oven,1.14,17:43,2023-03-17,7.0,Winter,5
333,Fridge,0.16,23:00,2023-09-19,7.1,Summer,2
163,Washing Machine,0.52,10:33,2023-04-28,14.2,Spring,1
